service_date,day_type,bus,rail_boardings,total_rides
10/01/2016,A,511504,445272,956776
06/27/2007,W,905210,627568,1532778
06/03/2012,U,512841,354121,866962
05/11/2006,W,926462,621331,1547793
07/14/2023,W,476443,373807,850250
09/27/2002,W,1058970,651373,1710343
09/01/2002,U,477226,257229,734455
03/07/2022,W,399383,261592,660975
01/17/2008,W,998608,619823,1618431
09/18/2004,A,636532,340756,977288
03/15/2001,W,960667,596612,1557279
02/12/2009,W,943891,620278,1564169
07/16/2024,W,565584,408295,973879
09/16/2020,W,323500,171467,494967
05/27/2015,W,921204,783749,1704953
10/17/2016,W,890736,791317,1682053
10/20/2010,W,1061125,733950,1795075
07/12/2020,U,174761,90382,265143
11/02/2016,W,866812,842885,1709697
10/07/2016,W,888731,877814,1766545
08/18/2009,W,948964,636143,1585107
03/11/2004,W,927076,589420,1516496
11/15/2012,W,1058314,786677,1844991
03/07/2008,W,1031200,604635,1635835
05/24/2015,U,401488,366008,767496
10/16/2013,W,1017742,779074,1796816
03/29/2020,U,111188,57736,168924
11/13/2024,W,633647,434362,1068009
05/13/2005,W,980674,597196,1577870
10/07/2023,A,386990,334134,721124
10/03/2019,W,885919,781701,1667620
09/02/2017,A,512150,481961,994111
06/20/2001,W,939471,612707,1552178
02/24/2011,W,1030542,708692,1739234
02/12/2015,W,883395,729249,1612644
11/12/2004,W,924772,606762,1531534
09/02/2016,W,838151,777158,1615309
02/05/2024,W,558625,339256,897881
04/02/2002,W,970537,585155,1555692
07/04/2013,U,525424,407174,932598
10/12/2021,W,469702,337547,807249
10/17/2013,W,1025838,789200,1815038
07/16/2003,W,915630,597927,1513557
10/14/2011,W,1058024,783903,1841927
12/21/2005,W,918067,553734,1471801
06/10/2022,W,450488,327910,778398
10/02/2002,W,1059836,648879,1708715
11/25/2010,U,312756,195258,508014
08/04/2003,W,920408,585024,1505432
10/17/2022,W,470688,332889,803577
09/08/2020,W,288854,151558,440412
07/12/2010,W,916793,645066,1561859
08/12/2015,W,817244,772367,1589611
04/27/2019,A,369056,319488,688544
06/04/2017,U,400326,384010,784336
11/25/2004,U,287787,147567,435354
09/14/2014,U,431379,386903,818282
06/03/2016,W,892290,824890,1717180
06/05/2015,W,919157,784462,1703619
07/08/2010,W,913888,665000,1578888
05/12/2022,W,475308,345676,820984
05/30/2015,A,481814,428464,910278
